Years,USA,CHINA,JAPAN,INDIA,ENGLAND,GERMANY,FRANCE,CANADA,SPAIN,ITALY
1960,4,0,0,0,2,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,1,0,0,0,0,0,0,0,0,0
1966,14,0,0,0,5,0,0,2,0,0
1967,25,0,0,0,4,0,1,2,0,0
1968,38,0,0,0,11,0,0,9,0,0
1969,29,0,1,0,5,0,1,6,0,0
1970,29,0,2,1,1,0,1,8,0,2
1971,36,0,1,0,5,1,0,6,0,0
1972,60,0,21,12,8,3,7,13,2,3
1973,585,0,124,38,91,9,82,71,8,25
1974,612,0,125,45,83,4,100,82,17,36
1975,649,1,133,38,97,1,89,103,17,44
1976,735,0,139,60,76,2,110,109,6,37
1977,864,0,170,69,105,0,110,118,25,32
1978,904,0,155,72,140,2,86,118,14,40
1979,1097,0,178,77,134,4,127,140,29,40
1980,1224,2,216,78,115,5,124,163,37,50
1981,1267,5,200,72,179,5,139,159,29,47
1982,1381,3,203,89,182,2,146,158,31,67
1983,1318,13,231,72,203,9,121,165,55,51
1984,1368,5,301,84,244,8,149,205,70,75
1985,1376,16,295,70,192,0,149,207,74,86
1986,1585,18,344,75,215,4,162,234,87,97
1987,1632,24,324,75,231,5,169,209,88,97
1988,1635,25,384,89,198,4,141,209,80,106
1989,1201,26,321,105,210,14,127,168,86,77
1990,1425,41,392,127,231,205,199,212,94,94
1991,3570,103,1158,287,535,595,586,456,236,297
1992,3767,117,1181,296,606,512,535,469,296,363
1993,3972,129,1276,322,518,597,549,485,299,414
1994,4137,129,1447,309,656,641,615,544,400,469
1995,4441,223,1410,344,647,785,662,527,390,450
1996,4587,273,1580,370,675,864,629,571,475,511
1997,4496,304,1452,407,751,889,693,535,458,552
1998,4535,396,1491,449,772,933,768,492,488,555
1999,4688,445,1557,460,717,897,668,575,505,549
2000,4686,547,1566,487,753,883,698,478,500,529
2001,4690,691,1587,522,753,948,754,487,524,573
2002,4800,845,1524,560,726,923,716,466,561,570
2003,5103,976,1568,678,755,977,792,533,615,653
2004,5998,1297,1636,796,808,1075,782,576,688,674
2005,6150,1594,1715,827,841,1088,779,655,694,665
2006,6676,1860,1699,1011,893,1173,791,679,785,711
2007,6566,2278,1688,1190,913,1245,801,751,849,780
2008,7155,2759,1699,1255,1108,1235,891,787,876,776
2009,7475,3083,1680,1364,1115,1235,944,898,938,820
2010,8106,3599,1709,1458,1179,1293,927,916,1001,908
2011,8503,4510,1711,1639,1257,1321,977,1010,1084,893
2012,8800,4772,1757,1724,1356,1390,1030,1021,1116,912
2013,9040,5365,1742,1879,1490,1469,1038,1103,1123,944
2014,9369,5933,1677,1923,1524,1534,1037,1150,1114,1086
2015,9459,6231,1609,2415,1728,1605,1209,1218,1265,1136
2016,9737,6654,1622,2574,1861,1618,1182,1297,1286,1157
2017,10003,7311,1629,2578,1897,1575,1155,1283,1258,1171
2018,9854,7784,1603,2688,1907,1692,1225,1364,1383,1186
