Years,USA,ENGLAND,ITALY,GERMANY,CANADA,AUSTRALIA,SPAIN,FRANCE,NETHERLANDS,JAPAN
1960,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0
1966,1,1,0,0,0,0,0,0,0,0
1967,1,0,0,0,0,0,0,0,0,0
1968,14,0,1,0,0,0,0,0,0,0
1969,9,2,0,0,1,1,0,0,0,0
1970,19,2,0,0,0,0,0,0,0,0
1971,14,0,0,1,3,0,0,0,0,0
1972,27,2,0,2,5,2,0,0,1,0
1973,86,7,3,1,16,2,0,7,7,0
1974,84,14,3,1,25,3,0,3,2,1
1975,77,16,2,0,11,1,0,3,5,3
1976,99,8,2,1,14,1,1,3,2,4
1977,79,13,5,0,7,6,0,3,6,3
1978,69,7,2,0,4,4,1,3,6,4
1979,67,6,1,0,12,3,2,2,1,0
1980,54,16,1,0,5,1,0,8,1,5
1981,78,9,3,0,6,1,1,6,4,2
1982,42,13,2,0,7,0,0,2,2,0
1983,100,9,4,0,7,0,0,4,5,3
1984,79,12,3,0,9,2,0,0,1,3
1985,83,7,2,0,4,1,1,2,1,2
1986,109,8,3,0,14,3,2,1,1,5
1987,98,8,0,0,10,7,2,4,0,9
1988,115,7,0,0,5,0,2,2,0,5
1989,82,7,1,0,9,0,0,0,0,1
1990,86,10,1,2,8,3,3,0,2,4
1991,274,20,2,28,20,7,12,14,2,25
1992,683,113,53,127,106,39,41,99,37,142
1993,254,13,1,11,20,11,14,14,1,11
1994,259,10,2,5,8,8,13,8,7,8
1995,305,19,7,15,15,15,17,16,16,20
1996,313,23,13,17,21,22,14,26,10,24
1997,340,36,32,39,25,21,29,29,16,27
1998,437,50,47,37,18,26,28,38,15,26
1999,532,65,49,59,27,23,32,41,9,30
2000,506,84,76,61,35,64,39,56,14,51
2001,530,114,82,73,56,49,35,56,22,62
2002,491,118,76,70,42,56,52,63,29,36
2003,519,122,80,88,56,44,62,56,30,27
2004,547,134,99,108,56,73,82,70,48,42
2005,724,159,108,122,68,81,90,64,50,58
2006,813,163,142,138,91,95,85,60,63,59
2007,875,164,158,153,100,102,119,87,64,70
2008,987,183,209,158,125,109,146,103,73,66
2009,985,204,180,144,112,125,131,115,85,56
2010,988,220,179,157,123,164,178,116,105,60
2011,1038,192,175,163,155,157,170,110,105,64
2012,1191,246,223,184,148,179,159,104,114,66
2013,1167,240,211,195,177,176,175,127,98,77
2014,1389,244,220,184,207,201,171,132,106,70
2015,1550,272,231,205,238,169,177,164,118,59
2016,1747,283,262,238,246,217,180,134,107,68
2017,1906,276,252,211,266,222,221,169,97,69
2018,2152,308,278,216,370,264,220,148,127,59
