Years,USA,ENGLAND,AUSTRALIA,CANADA,CHINA,ITALY,SPAIN,GERMANY,FRANCE,SWITZERLAND
1960,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0
1966,2,0,0,0,0,0,0,0,0,0
1967,4,4,0,0,0,0,0,0,0,0
1968,3,2,0,0,0,0,0,0,0,0
1969,5,5,0,0,0,0,0,0,0,0
1970,6,3,0,4,0,0,0,0,0,0
1971,5,1,0,0,0,0,0,0,0,0
1972,21,2,0,1,0,0,0,0,0,0
1973,136,4,0,2,0,0,0,0,0,0
1974,128,4,3,3,0,2,0,0,3,0
1975,99,3,0,3,0,1,0,0,0,0
1976,72,4,0,11,0,2,0,0,0,0
1977,63,5,1,2,0,1,0,0,0,0
1978,83,7,3,3,0,1,1,0,0,0
1979,77,6,2,8,0,7,0,0,1,2
1980,66,4,6,3,0,4,1,0,1,1
1981,44,8,4,4,0,4,4,0,1,1
1982,40,5,0,2,0,6,2,0,5,2
1983,48,6,3,5,0,6,15,0,5,5
1984,44,15,4,10,0,12,20,0,3,2
1985,30,8,1,10,0,11,19,0,8,3
1986,32,15,3,6,0,8,16,0,8,1
1987,23,17,6,4,0,9,17,0,4,2
1988,25,22,1,2,0,12,17,0,6,2
1989,23,16,3,3,0,6,19,0,6,1
1990,36,6,8,4,0,7,10,1,5,3
1991,104,17,9,9,0,12,18,8,9,4
1992,91,24,16,10,0,18,19,8,14,7
1993,113,12,16,13,0,15,23,11,9,6
1994,135,23,21,12,3,13,24,7,16,5
1995,125,20,21,10,1,14,16,14,14,9
1996,118,23,27,14,3,10,17,20,10,5
1997,135,43,28,12,3,16,25,26,22,18
1998,148,37,26,15,1,19,18,25,21,9
1999,194,42,40,15,7,12,18,21,11,15
2000,198,57,46,19,12,15,19,29,14,18
2001,214,55,39,16,10,25,19,19,23,19
2002,209,48,44,23,14,20,13,17,32,18
2003,224,45,55,27,11,15,14,13,18,31
2004,240,52,59,18,22,23,20,21,14,12
2005,220,53,74,31,31,22,17,21,20,13
2006,270,60,70,40,31,25,22,26,24,11
2007,229,47,52,28,34,36,23,38,14,17
2008,284,60,71,35,51,36,23,27,21,20
2009,254,53,75,39,44,27,31,23,23,12
2010,286,54,63,44,45,31,28,32,10,19
2011,298,49,55,43,70,40,22,25,24,23
2012,300,50,56,30,63,26,19,28,22,16
2013,333,62,76,53,77,41,23,29,22,25
2014,354,65,81,48,68,36,27,30,25,21
2015,377,80,78,60,73,38,24,23,31,22
2016,407,72,70,54,65,44,23,22,23,26
2017,504,85,71,69,81,38,27,23,33,20
2018,546,89,75,81,78,43,22,28,29,15
