Years,USA,ETHIOPIA,SAUDI ARABIA,YEMEN,ENGLAND,SWITZERLAND,GERMANY,KENYA,NORWAY,EGYPT
1960,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,1,0,0
1976,1,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,1,0,0
1978,0,0,0,0,0,0,0,0,0,0
1979,2,0,0,0,0,0,4,0,0,0
1980,2,0,0,0,0,0,6,0,1,1
1981,0,0,0,0,0,0,3,1,0,0
1982,2,0,0,0,0,0,1,1,0,1
1983,1,0,0,1,0,0,2,0,0,1
1984,0,0,0,1,0,0,6,0,0,2
1985,1,0,0,1,0,0,3,0,0,0
1986,1,0,0,5,0,0,2,0,0,1
1987,0,0,0,3,0,0,3,4,0,0
1988,2,1,1,2,0,0,1,2,0,0
1989,1,0,0,0,0,0,0,0,0,2
1990,1,0,0,2,0,0,4,1,1,1
1991,3,1,1,2,1,,3,0,0,1
1992,6,0,0,0,0,1,2,0,0,0
1993,4,0,0,1,1,0,0,0,0,0
1994,4,2,2,4,0,1,5,0,0,2
1995,3,0,0,2,2,1,0,1,0,0
1996,3,0,0,1,2,1,1,0,0,2
1997,4,0,1,2,1,1,0,0,0,1
1998,2,3,0,1,1,2,0,0,0,0
1999,4,3,3,0,2,0,0,0,0,1
2000,5,5,3,0,4,0,0,2,0,0
2001,2,1,1,0,1,0,0,0,0,0
2002,2,2,2,0,6,1,0,2,1,0
2003,3,0,0,0,2,2,0,3,5,0
2004,5,1,1,1,4,3,0,0,1,2
2005,5,2,2,1,3,4,0,0,5,0
2006,8,0,0,1,3,3,0,1,2,1
2007,3,4,4,2,1,3,0,2,1,1
2008,11,7,7,0,3,1,0,2,4,2
2009,10,6,6,4,3,2,1,4,2,4
2010,8,6,6,1,7,5,0,3,3,1
2011,8,8,8,3,5,3,2,3,0,0
2012,15,8,8,6,6,1,1,1,1,3
2013,15,10,10,7,3,7,0,4,1,2
2014,23,17,17,9,7,2,1,2,1,2
2015,10,25,25,11,7,4,0,3,0,1
2016,16,20,20,11,4,4,1,1,1,1
2017,23,42,42,14,4,10,0,4,1,2
2018,22,28,28,13,15,2,0,1,6,1
