Years,USA,ENGLAND,SPAIN,GERMANY,AUSTRALIA
1960,0,0,0,0,0
1961,0,0,0,0,0
1962,0,0,0,0,0
1963,0,0,0,0,0
1964,0,0,0,0,0
1965,0,0,0,0,0
1966,1,0,0,0,0
1967,2,0,0,0,0
1968,2,0,0,0,0
1969,3,1,0,0,0
1970,5,0,0,0,0
1971,1,0,0,0,0
1972,0,0,0,0,0
1973,1,0,0,0,0
1974,4,0,0,0,0
1975,9,2,0,0,0
1976,5,0,0,0,0
1977,1,0,0,0,0
1978,2,0,0,0,0
1979,4,0,0,0,0
1980,4,1,0,0,0
1981,3,0,0,0,0
1982,2,0,0,0,0
1983,3,0,0,0,0
1984,7,1,0,1,0
1985,10,0,0,0,0
1986,36,0,0,0,0
1987,28,0,0,1,0
1988,40,0,0,0,0
1989,33,4,0,1,0
1990,53,1,0,1,0
1991,67,5,1,0,0
1992,60,19,0,1,1
1993,51,21,2,8,2
1994,47,20,2,2,2
1995,46,19,3,3,2
1996,59,35,4,11,1
1997,57,35,11,14,4
1998,60,32,14,17,2
1999,63,43,17,17,5
2000,65,35,15,17,5
2001,80,48,18,10,4
2002,112,61,20,22,5
2003,97,60,24,21,10
2004,136,69,56,23,12
2005,128,48,26,22,15
2006,138,54,21,21,18
2007,134,36,32,29,26
2008,141,45,39,18,16
2009,126,45,24,25,32
2010,129,35,35,16,22
2011,126,49,28,18,31
2012,101,53,29,17,35
2013,115,48,27,18,32
2014,121,47,28,7,29
2015,94,41,21,13,14
2016,109,36,21,10,22
2017,103,29,21,9,22
2018,119,40,16,18,21
