Years,USA,ENGLAND,CANADA,GERMANY,JAPAN,FRANCE,ITALY,AUSTRALIA,SWEDEN,SPAIN
1960,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0
1969,2,0,0,0,0,0,0,0,0,0
1970,1,0,0,0,0,0,0,0,0,0
1971,1,0,0,0,0,0,0,0,0,0
1972,1,1,0,0,0,0,0,0,0,0
1973,12,2,0,0,1,1,0,0,0,0
1974,12,2,0,0,2,1,0,0,0,0
1975,10,4,0,0,0,0,0,0,0,0
1976,13,7,0,0,1,0,0,0,0,0
1977,6,9,0,0,1,0,0,0,0,0
1978,12,2,0,0,1,1,0,0,0,0
1979,10,3,0,0,0,0,0,0,0,0
1980,9,7,0,0,0,0,0,0,0,0
1981,9,11,0,0,0,1,0,0,0,0
1982,7,19,0,0,0,0,0,0,0,0
1983,9,25,0,0,0,0,0,0,0,0
1984,8,36,0,0,0,0,0,0,0,0
1985,21,15,0,0,0,0,0,0,0,0
1986,14,40,0,0,0,0,0,0,0,0
1987,17,31,0,0,0,3,0,0,0,0
1988,24,26,0,0,0,1,0,0,0,0
1989,29,27,0,0,0,0,0,0,0,0
1990,37,31,0,0,1,0,0,0,0,0
1991,73,50,0,0,0,1,0,3,0,1
1992,79,40,0,1,4,4,0,2,2,1
1993,86,47,1,0,6,5,0,3,1,6
1994,79,47,3,0,4,8,5,3,3,5
1995,97,60,4,0,7,6,5,7,7,4
1996,106,91,1,1,8,6,3,14,1,4
1997,106,68,0,0,10,2,6,13,7,4
1998,125,58,1,3,5,6,4,8,9,6
1999,146,41,3,4,4,13,14,9,4,9
2000,194,61,2,4,10,4,12,16,7,8
2001,150,56,1,3,9,6,12,9,3,5
2002,184,69,3,8,7,8,14,16,4,12
2003,171,75,7,7,11,13,13,17,3,10
2004,191,104,9,2,10,17,14,10,6,14
2005,249,89,21,11,9,9,21,11,10,7
2006,317,80,17,14,18,12,24,12,17,15
2007,337,95,26,13,18,14,22,20,14,10
2008,349,106,37,18,29,21,28,9,16,12
2009,366,76,48,13,23,11,25,17,18,8
2010,360,79,47,25,32,21,21,9,23,16
2011,393,86,37,24,31,18,28,11,17,14
2012,455,66,49,33,29,21,36,12,18,14
2013,445,67,50,42,20,23,23,9,14,18
2014,458,64,57,66,29,26,27,18,13,15
2015,436,53,79,70,27,31,21,16,15,14
2016,448,58,103,90,51,37,19,25,18,25
2017,357,34,90,81,34,47,12,38,20,17
2018,420,41,117,141,37,34,15,34,24,25
