Drugs,r_square,a_init,g_rate
Benzodiazepines,0.66,292.16651926784664,0.02815790196273298
GHB,0.75,6.842647843781876,0.050659040932815674
Khat,0.95,0.7573195888486924,0.08433647660996227
WoS,0.96,372992.76088430115,0.03569500846588188
Ketamine,0.98,24.47362488980567,0.06950411985704238
LSD,0.85,10.094979754268229,0.06229877229509308
Psilocybin,0.92,0.00492157881490633,0.17299473920184968
MDMA,0.84,21.25269365573248,0.05509322680872568
Heroin,0.97,41.891593093546476,0.0557433756755348
Methadone,0.96,35.9703138806572,0.057031237068768934
Codeine,0.94,18.141177640385344,0.046405073422656644
Alcohol,0.99,1093.572415688869,0.06360406994539172
Cannabis,0.97,35.03599976981951,0.08452446892719857
Methamphetamines,0.97,17.046746758139676,0.07131789289344002
Cocaine,0.86,176.3232388877336,0.047814290740857066
Amphetamines,0.82,166.1616081082101,0.03599289697473994
